ref,commission_percent,station_distance,rent,pub_date,pub_time,studio,n_rooms,area,floor,n_floors,n_days,mcc,circle,center_distance,parsing_date,y
/moskva/kvartiry/1-k_kvartira_40_m_317_et._1977630883,50,6,35.0,2020-07-30,,0,1,40,3,17,6,0,0,9.716113089086091,2020-08-04,0.875
/moskva/kvartiry/studiya_25_m_1017_et._1900024153,,5,28.0,2020-07-21,,1,1,25,10,17,15,0,0,15.037649645206713,2020-08-04,1.12
/moskva/kvartiry/2-k_kvartira_60_m_1317_et._1968724604,50,6,40.0,2020-08-02,,0,2,60,13,17,10,0,0,16.05311753942439,2020-08-04,0.6666666666666666
/moskva/kvartiry/1-k_kvartira_40_m_1517_et._1981915158,50,11,33.0,2020-07-28,,0,1,40,15,17,8,0,0,12.785580057042635,2020-08-04,0.825
/moskva/kvartiry/studiya_24_m_1625_et._1920623838,,9,34.999,2020-07-30,,1,1,24,16,25,7,0,0,19.189259057076622,2020-08-04,1.4582916666666668
/moskva/kvartiry/studiya_34_m_19_et._1419039367,,8,40.0,2020-08-04,21:02:41.457836,1,1,34,1,9,2,0,0,12.785580057042635,2020-08-04,1.1764705882352942
/moskva/kvartiry/1-k_kvartira_50_m_1617_et._1965479643,50,22,23.0,2020-07-28,,0,1,50,16,17,8,0,0,12.833674364295671,2020-08-04,0.46
/moskva/kvartiry/1-k_kvartira_35.6_m_47_et._1931124309,70,25,44.0,2020-07-29,,0,1,36,4,7,7,0,0,42.08652548896108,2020-08-04,1.2222222222222223
/moskva/kvartiry/2-k_kvartira_37_m_49_et._1196807131,50,4,50.0,2020-08-01,,0,2,37,4,9,4,0,0,6.285444479882572,2020-08-04,1.3513513513513513
/moskva/kvartiry/studiya_16_m_330_et._1953597051,,18,28.0,2020-07-30,,1,1,16,3,30,6,0,0,14.517695813647885,2020-08-04,1.75
/moskva/kvartiry/2-k_kvartira_37_m_39_et._1923870309,,8,35.0,2020-07-28,,0,2,37,3,9,9,0,0,10.738613232563797,2020-08-04,0.9459459459459459
/moskva/kvartiry/2-k_kvartira_46_m_35_et._1975602491,50,2,40.0,2020-07-28,,0,2,46,3,5,8,0,0,6.990554482151013,2020-08-04,0.8695652173913043
/moskva/kvartiry/2-k_kvartira_51_m_212_et._1871564184,0,11,63.0,2020-08-01,,0,2,51,2,12,4,0,0,6.8322428413998,2020-08-04,1.2352941176470589
/moskva/kvartiry/1-k_kvartira_34_m_25_et._1977764400,60,4,28.0,2020-07-28,,0,1,34,2,5,8,0,0,13.890305901113779,2020-08-04,0.8235294117647058
/moskva/kvartiry/3-k_kvartira_138_m_37_et._1972768630,0,4,235.0,2020-07-30,,0,3,138,3,7,6,0,0,2.04826394173432,2020-08-04,1.7028985507246377
/moskva/kvartiry/2-k_kvartira_44_m_35_et._1914271519,,7,45.0,2020-07-30,,0,2,44,3,5,6,0,0,8.853363046289289,2020-08-04,1.0227272727272727
/moskva/kvartiry/3-k_kvartira_139_m_510_et._1602143639,0,4,330.0,2020-07-29,,0,3,139,5,10,7,0,1,3.082867206614293,2020-08-04,2.3741007194244603
/moskva/kvartiry/1-k_kvartira_34_m_712_et._1960602645,50,20,30.0,2020-07-30,,0,1,34,7,12,6,0,0,9.207817966979363,2020-08-04,0.8823529411764706
/moskva/kvartiry/1-k_kvartira_38_m_1417_et._1952601515,50,18,22.0,2020-07-28,,0,1,38,14,17,8,0,0,20.28006401482817,2020-08-04,0.5789473684210527
/moskva/kvartiry/1-k_kvartira_40_m_714_et._1950990145,99,6,23.999,2020-07-31,,0,1,40,7,14,5,0,0,25.095109224601092,2020-08-04,0.5999749999999999
/moskva/kvartiry/4-k_kvartira_89_m_112_et._1974071143,50,18,55.0,2020-08-01,,0,4,89,1,12,5,0,0,16.05311753942439,2020-08-04,0.6179775280898876
/moskva/kvartiry/2-k_kvartira_50_m_29_et._1959844393,40,9,40.0,2020-07-30,,0,2,50,2,9,6,0,0,4.271853909460736,2020-08-04,0.8
/moskva/kvartiry/2-k_kvartira_62_m_214_et._835835644,,13,60.0,2020-08-02,,0,2,62,2,14,4,0,0,7.387032237319362,2020-08-04,0.967741935483871
/moskva/kvartiry/3-k_kvartira_70_m_88_et._1964734767,,9,49.9,2020-07-28,,0,3,70,8,8,8,0,0,8.197599186388118,2020-08-04,0.7128571428571429
/moskva/kvartiry/2-k_kvartira_47_m_55_et._1332982593,50,8,27.0,2020-07-21,,0,2,47,5,5,15,0,0,10.738613232563797,2020-08-04,0.574468085106383
/moskva/kvartiry/3-k_kvartira_85_m_29_et._1918156503,,9,55.0,2020-07-21,,0,3,85,2,9,15,0,0,38.05223639778658,2020-08-04,0.6470588235294118
/moskva/kvartiry/3-k_kvartira_76_m_812_et._1041023380,,8,65.0,2020-07-30,,0,3,76,8,12,6,0,0,14.293167708857114,2020-08-04,0.8552631578947368
/moskva/kvartiry/studiya_16_m_23_et._1959519618,,1,38.0,2020-07-28,,1,1,16,2,3,8,0,0,1.7610692492100228,2020-08-04,2.375
/moskva/kvartiry/2-k_kvartira_43_m_314_et._1395492891,50,11,34.0,2020-07-31,,0,2,43,3,14,5,0,0,15.037649645206713,2020-08-04,0.7906976744186046
/moskva/kvartiry/1-k_kvartira_32_m_25_et._1962656837,50,14,28.0,2020-07-31,,0,1,32,2,5,5,1,0,10.131813490251698,2020-08-04,0.875
/moskva/kvartiry/2-k_kvartira_45_m_45_et._1965032460,50,9,36.0,2020-07-31,,0,2,45,4,5,5,0,0,13.72134321956592,2020-08-04,0.8
/moskva/kvartiry/1-k_kvartira_31_m_15_et._467758225,,8,38.0,2020-07-30,,0,1,31,1,5,6,0,0,13.558779945548173,2020-08-04,1.2258064516129032
