,lat,lng,line,center_distance,mcc,circle
Окружная,55.848889,37.571111,МЦД - 1,10.753644694068589,0,0
Окская,55.4307,37.4654,Некрасовская,37.45778425190925,0,0
Октябрьская,55.729264,37.611049,Кольцевая,2.995982960291314,0,1
Октябрьское поле,55.793581,37.493317,Таганско-Краснопресненская,8.854535352572697,0,0
Ольховая,55.5677,37.459,Сокольническая,23.211051042531707,0,0
Опалиха,55.82333,37.246843,МЦД - 2,24.438382140293037,0,0
Орехово,55.61269,37.695214,Замоскворецкая,16.67731217605616,0,0
Остафьево,55.50337,37.520055,МЦД - 2,28.780883565986866,0,0
Отрадное,55.864273,37.605066,Серпуховско-Тимирязевская,12.089482000516536,0,0
Охотный ряд,55.757228,37.615078,Сокольническая,0.21469595415577516,0,0
Павелецкая,55.731414,37.636294,Кольцевая,2.970487766787396,0,1
Павшино,55.815231,37.341461,МЦД - 2,18.539607070544054,0,0
Панфиловская,55.799167,37.498889,МЦК,8.86937145169443,1,0
Парк Победы,55.736478,37.514401,Солнцевская,6.832242841399801,0,0
Парк культуры,55.735221,37.593095,Кольцевая,2.7707053393014025,0,1
Партизанская,55.788401,37.74882,Арбатско-Покровская,8.995000246336769,0,0
Пенягино,55.4918,37.2139,МЦД - 2,38.87721081628371,0,0
Первомайская,55.794376,37.799364,Арбатско-Покровская,12.184305862368573,0,0
Перерва,55.660809,37.716278,МЦД - 2,12.27265890484949,0,0
Перово,55.75098,37.78422,Калининская,10.477097307352325,0,0
Петровский парк,55.79233,37.55952,Большая кольцевая линия,5.451087355930695,0,0
Петровско-Разумовская,55.836667,37.575556,Люблинско-Дмитровская,9.36889997825766,0,0
Печатники,55.692921,37.728338,Люблинско-Дмитровская,9.880492727191685,0,0
Пионерская,55.736027,37.466728,Филевская,9.729694893901524,0,0
Планерная,55.859676,37.436808,Таганско-Краснопресненская,16.18460293813983,0,0
Площадь Гагарина,55.706944,37.585833,МЦК,5.806246700885528,1,0
Площадь Ильича,55.747115,37.680726,Калининская,4.083909171733213,0,0
Площадь Революции,55.756741,37.62236,Арбатско-Покровская,0.3132150422391457,0,0
Подольск,55.431667,37.565,МЦД - 2,36.25233679139361,0,0
Покровское,55.814247,37.47678,МЦД - 2,10.964296112635992,0,0
Покровское-Стрешнево,55.814247,37.47678,МЦД - 2,10.964296112635992,0,0
